latitude,longitude,acq_date,acq_time,confidence,brightness,frp,satellite,daynight,source,fire_id
-8.63512,-74.8912,2026-09-21,544,n,313.19,1.83,N,N,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0001
-8.68216,-74.71999,2026-09-21,1819,n,331.97,2.76,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0002
-8.65409,-74.704,2026-09-21,1819,n,342.32,5.38,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0003
-8.64942,-74.73244,2026-09-21,1819,n,340.11,2.7,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0004
-8.64518,-74.73301,2026-09-21,1819,n,329.15,1.66,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0005
-8.62461,-74.77174,2026-09-21,1819,n,337.34,3.01,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0006
-8.59453,-74.39781,2026-09-21,1819,n,340.65,4.59,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0007
-8.58064,-74.32798,2026-09-21,1819,n,340.57,12.51,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0008
-8.43089,-74.79794,2026-09-21,1819,n,331.72,1.97,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0009
-8.41367,-74.64226,2026-09-21,1819,n,334.98,4.43,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0010
-8.40948,-74.64285,2026-09-21,1819,n,334.46,4.83,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0011
-8.38175,-74.2629,2026-09-21,1819,n,340.2,8.35,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0012
-8.36161,-74.44931,2026-09-21,1819,n,335.07,2.79,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0013
-8.35988,-74.44971,2026-09-21,1819,n,337.2,3.68,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0014
-8.33714,-74.32151,2026-09-21,1819,n,329.54,2.83,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0015
-8.31665,-74.71455,2026-09-21,1819,n,348.81,10.78,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0016
-8.29333,-74.51619,2026-09-21,1819,n,341.02,9.61,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0017
-8.21886,-74.69295,2026-09-21,1819,n,334.14,6.82,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0018
-8.21467,-74.69353,2026-09-21,1819,n,352.32,6.82,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0019
-8.12064,-74.31199,2026-09-21,1819,n,330.9,2.29,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0020
-8.11671,-74.63744,2026-09-21,1819,n,340.12,8.74,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0021
-8.67452,-74.48308,2026-09-22,1800,n,341.23,6.99,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0022
-8.67402,-74.47907,2026-09-22,1800,n,333.11,6.99,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0023
-8.67332,-74.48288,2026-09-22,1800,n,344.71,6.5,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0024
-8.67279,-74.47888,2026-09-22,1800,n,328.83,6.5,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0025
-8.65587,-74.381,2026-09-22,1800,n,327.67,3.29,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0026
-8.65394,-74.38102,2026-09-22,1800,n,328.18,3.47,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0027
-8.57737,-74.32727,2026-09-22,1800,n,330.25,3.62,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0028
-8.53574,-74.3314,2026-09-22,1800,n,326.84,4.68,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0029
-8.52954,-74.32818,2026-09-22,1800,n,328.42,9.37,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0030
-8.52332,-74.32491,2026-09-22,1800,n,327.02,8.99,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0031
-8.51764,-74.32561,2026-09-22,1800,n,327.93,7.56,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0032
-8.3489,-74.56738,2026-09-22,1800,n,331.75,3.75,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0033
-8.26395,-74.72959,2026-09-22,1800,n,327.65,4.53,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0034
-8.25814,-74.73031,2026-09-22,1800,n,331.66,4.53,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0035
-8.2576,-74.72628,2026-09-22,1800,n,343.27,4.53,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0036
-8.22116,-74.76419,2026-09-22,1800,n,329.8,3.98,N,D,VIIRS_SNPP_NRT,FIRMS-UCY-2024-0037
