latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-0.3905,-78.68274,304.54,0.42,0.61,2026-09-14,612,N,VIIRS,n,2.0NRT,270.46,1.85,N
-10.14233,-76.21696,297.8,0.4,0.44,2026-09-14,614,N,VIIRS,n,2.0NRT,284.9,0.64,N
-10.06444,-76.2615,318.37,0.4,0.45,2026-09-14,614,N,VIIRS,n,2.0NRT,284.56,2.09,N
-10.06375,-76.26551,296.58,0.41,0.45,2026-09-14,614,N,VIIRS,n,2.0NRT,283.91,1.24,N
-9.3191,-77.5295,302.1,0.5,0.49,2026-09-14,614,N,VIIRS,n,2.0NRT,278.21,1.24,N
-9.26329,-77.63335,305.19,0.51,0.49,2026-09-14,614,N,VIIRS,n,2.0NRT,279.56,2.39,N
-9.26238,-77.63846,315.48,0.51,0.49,2026-09-14,614,N,VIIRS,n,2.0NRT,279.96,2.39,N
-9.17658,-78.30783,319.09,0.57,0.52,2026-09-14,614,N,VIIRS,n,2.0NRT,287.32,2.6,N
-8.42367,-77.33913,302.24,0.5,0.49,2026-09-14,614,N,VIIRS,n,2.0NRT,284.88,1.15,N
-8.42259,-77.34517,298.1,0.5,0.49,2026-09-14,614,N,VIIRS,n,2.0NRT,285.43,1.15,N
-7.8965,-79.14587,311.39,0.34,0.56,2026-09-14,614,N,VIIRS,n,2.0NRT,287.03,2.27,N
-7.61568,-78.25864,315.73,0.6,0.53,2026-09-14,614,N,VIIRS,n,2.0NRT,280.85,2.74,N
-7.61412,-78.258,312.47,0.6,0.53,2026-09-14,614,N,VIIRS,n,2.0NRT,281.24,3.37,N
-7.61323,-78.26315,311.82,0.6,0.53,2026-09-14,614,N,VIIRS,n,2.0NRT,283.19,3.37,N
-16.2965,-69.15186,301.29,0.46,0.39,2026-09-14,616,N,VIIRS,n,2.0NRT,270.67,1.19,N
-16.29292,-69.15109,297.08,0.46,0.39,2026-09-14,616,N,VIIRS,n,2.0NRT,271.01,1.19,N
-16.25599,-71.68481,301.36,0.39,0.36,2026-09-14,616,N,VIIRS,n,2.0NRT,285.36,0.88,N
-15.78617,-71.85693,309.09,0.39,0.36,2026-09-14,616,N,VIIRS,n,2.0NRT,269.19,1.12,N
-14.72316,-70.79516,318.61,0.39,0.37,2026-09-14,616,N,VIIRS,n,2.0NRT,274.4,2.07,N
-14.72259,-70.7989,332.38,0.39,0.37,2026-09-14,616,N,VIIRS,n,2.0NRT,275.52,6.9,N
-14.7198,-70.79465,301.78,0.39,0.37,2026-09-14,616,N,VIIRS,n,2.0NRT,274.31,2.07,N
-14.15903,-72.0722,323.62,0.38,0.36,2026-09-14,616,N,VIIRS,n,2.0NRT,282.55,2.5,N
-14.15847,-72.07577,321.32,0.38,0.36,2026-09-14,616,N,VIIRS,n,2.0NRT,283.2,2.5,N
-14.02763,-75.16335,297.97,0.47,0.39,2026-09-14,616,N,VIIRS,n,2.0NRT,277.73,1.59,N
